portal_rank_247,player_name,role,team,new_team,conf,GP,Min_per,min_factor,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec_Rank,ast_tov,rimmade,rimmade_rimmiss,midmade,midmade_midmiss,rim_pct,mid_pct,dunksmade,dunksmade_dunksmiss,dunk_pct,pick,drtg,adrtg,dporpag,stops,bpm,bpm_adj,adj_bpm2,obpm,dbpm,gbpm,adj_gbpm,min_adj_gbpm,mp,mp_factor,cam_gbpm,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,idk,dob,gp_weight,cam_gbpm_v2,min_adj_gbpm_v2,conf_sos,sos_adj,adj_gbpm_sos,cam_gbpm_v3,min_adj_gbpm_v3
,Ebuka Okorie,Scoring PG,Stanford,,ACC,31,82.2,1.428,122.6,30.1,52.8,58.9,2.4,10.3,23.9,10.4,188,226,0.832,171,325,0.526,63,178,0.354,1,2.7,44.9,Fr,6-2,1,6.32553,144.493,1.6,2026,134537,"Nashua, NH",57.6,1.91373593,135,240,36,85,0.5625,0.4235,8,8,1,,108.901,103.992,3.68627,173.309,6.86813,76.147,9.861,6.81778,0.0503446,9.5846,12.851,18.349,35.1129,1.497,19.244,8.0183,1.5663,0.7419,2.9032,3.6452,3.5806,1.5806,0.3226,23.1935,9.6615,2006-10-15,0.795,15.297,14.585,3.209,1.605,14.456,17.207,16.406
,Joshua Jefferson,Wing F,Iowa St.,,B12,35,73.1,1.340,115.2,28.6,51.7,56.02,7.2,21.8,27.7,16.7,149,213,0.7,156,302,0.517,38,110,0.345,3.4,3.1,51.7,Sr,6-9,5,4.39605,133.326,3,2026,77391,"Las Vegas, NV",,1.87636156,108,178,48,124,0.6067,0.3871,16,17,0.9412,,91.8291,87.1756,5.06527,245.418,11.2303,61.603,11.952,4.58131,6.64904,11.5988,13.079,17.527,30.9314,1.412,18.469,6.06912,5.5297,1.8857,5.5429,7.4286,4.7714,1.6286,0.8286,16.4286,5.90338,2003-11-21,0.814,15.033,14.266,3.557,1.779,14.857,17.078,16.206
,Bennett Stirtz,Scoring PG,Iowa,,B10,37,94,1.480,123.3,26.1,56.5,60.72,1,8.7,24.9,11.9,140,165,0.848,159,269,0.591,92,257,0.358,0.9,2.3,31.4,Sr,6-4,14,6.16929,139.649,2.1,2026,128048,"Liberty, MO",,2.39710509,98,139,61,130,0.705,0.4692,11,12,0.9167,,107.486,100.593,4.40702,207.783,7.35854,66.367,9.262,6.62516,0.733373,9.08073,10.984,16.256,37.7297,1.601,17.589,7.18384,1.89689,0.2703,2.3784,2.6486,4.4054,1.3784,0.2432,19.8378,11.7454,2003-10-03,0.822,14.462,13.366,3.756,1.878,12.862,16.935,15.652
,Jeremy Fears Jr.,Pure PG,Michigan St.,,B10,35,80.5,1.372,127,27.1,47.9,57.58,1.6,7,53,16.5,184,208,0.885,122,255,0.478,35,109,0.321,0.1,2.4,57.1,Jr,6-2,1,5.91779,145.329,2.9,2026,77892,"Joliet, IL",94,3.8587662,59,102,63,153,0.5784,0.4118,1,1,1,,104.715,96.0112,4.28596,184.49,8.1909,63.133,10.730,7.71831,0.472591,10.1906,11.960,16.412,32.4314,1.482,17.724,6.76669,3.42392,0.4286,1.9714,2.4,9.3714,1.2857,0.0286,15.2286,5.73876,2005-04-19,0.814,14.426,13.358,3.756,1.878,13.838,16.692,15.456
,Ja'Kobi Gillespie,Pure PG,Tennessee,,SEC,37,86,1.420,119.9,25.7,50.1,53.83,1.9,7.2,30.2,15.3,114,140,0.814,129,261,0.494,103,305,0.338,0.8,3.6,24.7,Sr,6-1,0,5.00738,134.314,2.6,2026,76218,"Greeneville, TN",,2.36468898,95,163,34,98,0.5828,0.3469,4,5,0.8,,103.028,94.3515,4.77707,226.665,8.60623,60.785,10.058,6.20728,2.39894,9.9341,11.126,15.804,34.7514,1.532,17.042,6.04887,3.88523,0.5676,2.2703,2.8378,5.4324,2.1351,0.2162,18.4054,14.0646,2004-03-10,0.822,14.012,12.994,3.920,1.960,13.087,16.481,15.284
,Nick Boyd,Scoring PG,Wisconsin,,B10,35,78.7,1.361,122.4,30.1,53.8,58.82,2.8,10.9,28.8,10.2,161,194,0.83,191,358,0.534,61,167,0.365,0.1,1.9,37,Sr,6-3,2,5.76221,145.144,2.4,2026,73590,"Garnerville, NY",,2.52541968,140,248,51,110,0.5645,0.4636,0,0,,,111.216,103.244,3.39823,177.171,7.78862,71.343,10.986,7.40731,0.38131,8.53873,11.479,15.625,31.9143,1.465,16.819,7.19214,1.34659,0.7714,3.0286,3.8,4.2571,1.0286,0.0286,20.7429,8.70296,2001-04-23,0.814,13.690,12.718,3.756,1.878,13.356,15.929,14.798
,Pryce Sandfort,Wing G,Nebraska,,B10,35,83.3,1.396,128.7,21,62.1,64.38,2.3,14.2,12.1,5.9,71,83,0.855,88,143,0.615,129,310,0.416,1.1,1.8,18.3,Jr,6-7,21,5.05635,136.09,2,2026,78950,"Waukee, IA",83,2.91672743,68,93,20,50,0.7312,0.4,3,4,0.75,,99.8279,92.9477,4.79014,211.809,8.67799,46.517,9.082,6.00956,2.66843,10.4601,10.990,15.341,33.5657,1.507,16.566,7.42151,3.03859,0.6286,4.2286,4.8571,2,1.0286,0.2571,18.1143,15.9003,2004-06-23,0.814,13.484,12.487,3.756,1.878,12.867,15.788,14.621
,Braden Smith,Pure PG,Purdue,,B10,39,85.9,1.415,119.7,26.5,51.1,55.15,2.4,10.3,43,19.5,99,120,0.825,133,271,0.491,64,177,0.362,0.7,3,26.8,Sr,6-0,3,5.3293,137.051,1.8,2026,76196,"Westfield, IN",61.2,3.0531512,49,81,84,190,0.6049,0.4421,0,0,,,107.652,98.5793,4.26855,231.566,8.51445,62.943,10.313,6.57263,1.94183,8.79547,10.485,14.835,34.4821,1.531,16.051,6.4287,2.36676,0.641,2.8974,3.5385,8.8462,1.6923,0.2051,14.2821,8.10746,2003-07-25,0.830,13.319,12.310,3.756,1.878,12.363,15.704,14.515
,Dailyn Swain,Wing F,Texas,,SEC,35,81.9,1.380,121.6,25.5,57.8,63.28,6.2,20.7,21.3,18.4,161,198,0.813,174,292,0.596,32,92,0.348,1,2.8,51.6,Jr,6-8,3,4.86569,135.159,2.7,2026,78002,"Columbus, OH",82.4,1.3437208,135,210,39,82,0.6429,0.4756,25,26,0.9615,,107.089,99.4868,3.96627,228.32,9.43828,57.368,10.671,6.06748,3.3708,9.50743,10.940,15.101,32.8167,1.495,16.353,6.56167,2.94575,1.6944,5.8333,7.5278,3.5833,1.6389,0.3056,17.3056,4.65433,2005-07-15,0.814,13.311,12.292,3.920,1.960,12.901,15.695,14.494
,Caleb Wilson,PF/C,North Carolina,,ACC,24,56.7,1.348,123.1,28.8,59,62.64,10.5,22.2,18.1,12.6,129,181,0.713,163,267,0.61,7,27,0.259,4.4,2.8,61.6,Fr,6-10,8,5.30551,141.21,2.4,2026,133811,"Atlanta, GA",99.2,1.36174227,115,159,48,108,0.7233,0.4444,67,77,0.8701,,96.6522,92.2106,4.57938,179.801,12.2009,61.204,13.696,6.20691,5.99398,12.7197,15.217,20.514,31.3042,1.244,18.925,8.15415,4.56558,2.8333,6.5833,9.4167,2.6667,1.5,1.375,19.8333,2.08729,2006-07-18,0.750,14.194,15.386,3.209,1.605,16.821,15.691,17.008
,Aday Mara,C,Michigan,,B10,40,58.3,1.166,119.5,23.8,67.3,65.85,10.4,20.4,19,19.8,79,140,0.564,198,291,0.68,3,10,0.3,12,0.8,46.5,Jr,7-3,15,3.35454,133.801,3.8,2026,78229,"Zaragoza, Spain",97.2,1.22784806,159,196,39,95,0.8112,0.4105,81,88,0.9205,,92.0801,83.8539,4.08872,227.432,14.6193,38.445,14.235,4.39882,10.2205,12.7377,12.880,15.014,23.405,1.261,16.243,5.17646,7.56122,1.9,4.85,6.75,2.425,0.35,2.575,12.1,0.597662,2005-04-07,0.833,13.536,12.512,3.756,1.878,14.758,15.509,14.336
,Darryn Peterson,Wing G,Kansas,,B12,24,49.4,1.298,114.1,30.9,52.7,57.8,2.9,11.8,12.5,10.4,109,132,0.826,93,191,0.487,63,165,0.382,2.3,2.9,37.1,Fr,6-5,22,4.68757,139.395,2.1,2026,134193,"Canton, OH",99.8,1,40,67,53,124,0.597,0.4274,9,12,0.75,,99.4106,91.3182,4.29114,136.532,7.78055,70.124,9.982,5.5435,2.23705,12.3897,15.605,20.257,29.025,1.161,18.116,8.3726,4.01714,0.7083,3.5,4.2083,1.5833,1.4167,0.625,20.1667,13.8911,2007-01-17,0.750,13.587,15.193,3.557,1.779,17.384,15.135,16.925
,Nick Martinelli,Wing F,Northwestern,,B10,33,86.1,1.438,120.9,29.4,55.2,60.19,7.8,13.5,13.2,8.4,178,220,0.809,223,418,0.533,45,108,0.417,1.2,1.4,41.8,Sr,6-7,2,6.01712,141.228,2.6,2026,76952,"Glenview, IL",,1.40429709,104,166,119,252,0.6265,0.4722,7,7,1,,111.549,103.512,3.79988,179.861,5.86337,76.131,8.197,5.67387,0.189507,7.34531,10.377,14.924,35.6242,1.533,15.904,7.29459,0.0507117,2.2424,3.9394,6.1818,2,0.7879,0.3636,23,5.65771,2004-04-20,0.805,12.801,12.012,3.756,1.878,12.255,15.117,14.185
,Christian Anderson,Pure PG,Texas Tech,,B12,33,92.7,1.492,123.1,25.2,59.7,62.6,1.8,8.5,35.2,20.2,95,118,0.805,96,172,0.558,108,260,0.415,0.7,2.2,27.3,So,6-3,4,6.11437,138.476,2.1,2026,127700,"Atlanta, GA",76.6,2.23854071,55,76,41,96,0.7237,0.4271,8,10,0.8,,109.54,100.591,4.47915,197.002,8.1787,63.009,10.012,7.23449,0.944214,8.30008,9.887,14.755,38.3606,1.590,15.723,6.6788,1.62128,0.6061,2.9697,3.5758,7.3939,1.4545,0.2424,18.5152,12.1222,2006-04-02,0.805,12.655,11.876,3.557,1.779,11.666,14.932,14.012
,Tarris Reed Jr.,C,Connecticut,,BE,35,59.4,1.259,119.6,26.5,60.7,61.43,14.2,24.5,17.8,15.6,95,154,0.617,210,342,0.614,0,4,0,8.4,2,44.5,Sr,6-10,5,4.26739,137.723,4.3,2026,77482,"Saint Louis, MO",93.2,1.23078998,164,238,46,104,0.6891,0.4423,38,40,0.95,,91.8947,85.1232,4.63339,220.512,12.9328,50.451,13.268,4.83684,8.09592,11.5684,12.722,16.019,27.3086,1.273,16.195,6.16021,5.40822,3.2,5.7714,8.9714,2.2857,0.9143,1.9714,14.7143,0.254276,2003-08-05,0.814,13.182,13.039,3.081,1.540,14.262,14.778,14.617
,Brayden Burries,Wing G,Arizona,,B12,39,74.3,1.315,125.2,21.6,57.2,61.58,2.1,14.5,14.2,12.7,136,169,0.805,140,249,0.562,70,179,0.391,0.7,2.8,39.5,Fr,6-4,5,4.42908,135.334,2.8,2026,133777,"San Bernardino, CA",98.2,1.66671221,91,140,49,109,0.65,0.4495,17,18,0.9444,,96.1697,88.9366,4.68328,241.232,10.2047,43.402,10.555,6.02988,4.17483,10.3816,10.576,13.911,29.8026,1.424,15.057,5.51714,4.86446,0.5385,4.359,4.8974,2.4359,1.5128,0.2051,16.0513,8.60445,2005-09-18,0.830,12.494,11.543,3.557,1.779,12.354,14.595,13.485
,Thomas Haugh,Wing F,Florida,,SEC,34,80.9,1.391,126.6,21,53.3,58.64,7,12.3,10.5,11.8,154,199,0.774,126,222,0.568,58,178,0.326,2.9,1.8,49.8,Jr,6-9,10,4.83142,134.158,2.8,2026,79305,"New Oxford, PA",61.6,1.43139998,113,182,13,40,0.6209,0.325,42,46,0.913,,100.573,92.4373,4.84771,211.808,10.1793,44.257,10.400,5.98093,4.19835,9.71661,9.998,13.905,33.3176,1.486,14.853,6.00582,3.71079,2.1471,4,6.1471,2.1471,1.0588,0.9706,17.0588,8.68975,2003-07-07,0.810,12.024,11.257,3.920,1.960,11.958,14.381,13.464
4,Allen Graves,Stretch 4,Santa Clara,,WCC,34,57,1.145,135.4,22.4,58.2,61.51,13.9,20,13.8,8.2,84,112,0.75,105,185,0.568,37,91,0.407,5,4.9,40.6,Fr,6-9,22,4.12345,144.531,5.3,2026,126989,"Ponchatoula, LA",,2.51994962,76,120,29,65,0.6333,0.4462,21,23,0.913,,97.0286,94.6341,3.14097,192.36,14.2222,35.019,15.040,8.76936,5.45288,12.6726,13.597,15.572,22.5914,1.247,16.956,8.47524,4.19734,2.8,3.7143,6.5143,1.8,1.9143,0.9429,11.7714,6.71212,2005-10-15,0.810,13.726,12.606,1.197,0.598,14.196,14.330,13.161
,Hannes Steinbach,PF/C,Washington,,B10,30,77.9,1.418,125.9,24.4,60.2,63.61,14.3,25,9.1,13.7,120,158,0.759,191,309,0.618,18,53,0.34,3.9,1.8,43.6,Fr,6-11,6,5.57553,138.929,2.7,2026,135114,"Würzburg, Germany",99,0.79661362,144,204,47,105,0.7059,0.4476,29,30,0.9667,,102.543,95.1738,4.69345,219.427,8.65431,56.943,9.428,5.14606,3.50825,8.96188,10.411,14.767,34.6533,1.458,15.176,7.03285,1.92903,4.2,7.5667,11.7667,1.5667,1.0667,1.2333,18.5333,3.01192,2006-05-01,0.789,11.981,11.658,3.756,1.878,12.288,14.143,13.761
2,Milan Momcilovic,Wing F,Iowa St.,,B12,37,76.2,1.330,136.9,18.1,67.2,69.34,0.8,11.5,6.1,8.8,72,82,0.878,72,132,0.545,136,279,0.487,1,1.6,20,Jr,6-8,22,5.10728,140.672,2.1,2026,77713,"Pewaukee, WI",92.2,1.22582946,27,34,45,98,0.7941,0.4592,1,1,1,,100.296,94.9568,4.16702,182.754,7.63581,37.992,7.495,5.74117,1.89464,10.189,10.019,13.326,30.4703,1.442,14.446,7.82948,2.35948,0.2162,2.8919,3.1081,1.027,0.8108,0.2432,16.8649,14.364,2004-09-22,0.822,11.878,10.957,3.557,1.779,11.798,13.986,12.902
,Emanuel Sharp,Combo G,Houston,,B12,37,73.3,1.307,124.6,23.2,52.7,58.18,3,8.6,11.1,8.8,123,138,0.891,79,165,0.479,97,261,0.372,0.4,2.5,32.4,Sr,6-3,21,4.48958,136.52,4.1,2026,76775,"Tampa, FL",77.8,1.77769783,36,54,43,111,0.6667,0.3874,3,3,1,,99.0969,92.5114,4.25615,175.024,8.66806,49.298,9.665,6.42915,2.23891,9.39708,10.013,13.083,29.4027,1.414,14.160,5.56123,3.83584,0.7838,2.1892,2.973,1.7297,1.1892,0.0811,15.4595,14.8103,2004-03-07,0.822,11.642,10.757,3.557,1.779,11.792,13.710,12.667
,Alex Condon,PF/C,Florida,,SEC,34,74.2,1.332,117.6,23.6,56.9,59.35,8.2,17.4,20,18.7,126,194,0.649,180,287,0.627,9,53,0.17,4.6,1.2,57.1,Jr,6-11,21,3.82429,128.457,3.6,2026,79312,"Perth, Australia",,1.48189412,134,203,46,84,0.6601,0.5476,48,52,0.9231,,98.6645,90.8598,4.61047,210.387,10.2894,49.148,10.448,4.376,5.91336,9.54864,9.938,13.233,30.5382,1.423,14.140,4.75901,4.78963,2.2941,5.1765,7.4706,3.6176,0.6765,1.4118,15.0882,2.82103,2004-07-25,0.810,11.446,10.713,3.920,1.960,11.899,13.704,12.826
,Cameron Carr,Wing G,Baylor,,B12,33,84.4,1.399,118.9,24.3,57.6,61.77,2.3,17.6,13.7,16.8,132,164,0.805,131,223,0.587,77,205,0.376,3.9,1.6,38.3,So,6-5,43,4.78328,133.188,2.3,2026,78279,"Eden Prairie, MN",88.8,1.11110642,83,122,48,101,0.6803,0.4752,44,51,0.8627,,109.628,103.395,3.62946,204.012,6.0069,59.575,6.719,4.0676,1.93929,8.00756,9.316,13.030,33.6971,1.517,14.136,6.37756,1.63,0.6471,5.1471,5.7941,2.6471,0.8824,1.3235,18.8824,10.6283,2004-11-24,0.805,11.377,10.488,3.557,1.779,11.094,13.550,12.490
,Tamin Lipsey,Scoring PG,Iowa St.,,B12,34,72.2,1.351,120.3,22.9,51.6,54.02,5.2,9.8,28,12.4,80,122,0.656,126,233,0.541,42,133,0.316,0.1,4.2,33.3,Sr,6-1,3,4.30454,131.849,2.4,2026,77122,"Ames, IA",62.4,3.32692567,82,132,44,101,0.6212,0.4356,1,1,1,,95.3701,89.8642,4.85224,213.319,9.60719,48.883,10.180,5.67907,3.92813,9.88468,10.112,13.657,31.4206,1.403,14.191,4.70341,5.18126,1.3824,2.5294,3.9118,5.0882,2.2647,0.0294,13.4706,7.22669,2003-06-25,0.810,11.488,11.056,3.557,1.779,11.890,13.509,13.001
,Henri Veesaar,Stretch 4,North Carolina,,ACC,31,73.5,1.351,125.6,22.7,66.7,66.4,8.1,21.9,13.6,13.7,72,117,0.615,168,248,0.677,40,94,0.426,3.8,1.1,34.2,Jr,7-0,13,4.74808,136.09,3.2,2026,76607,"Tallinn, Estonia",85.2,1.23077388,122,162,46,86,0.7531,0.5349,58,65,0.8923,,100.882,95.3249,4.24003,201.513,9.6505,48.286,10.103,5.42814,4.22236,9.58614,10.378,14.017,31.4226,1.416,14.695,6.4985,3.08764,2.1935,6.5161,8.7097,2.0645,0.5806,1.1935,17.0323,5.60587,2004-03-28,0.795,11.681,11.142,3.209,1.605,11.982,13.487,12.864
,Lamar Wilkerson,Wing G,Indiana,,B10,32,83.9,1.404,118.7,27.2,56.9,60.89,1.6,10.8,15.9,10.4,111,125,0.888,123,215,0.572,104,275,0.378,0.6,1.7,25.5,Sr,6-6,3,4.99007,135.207,2.7,2026,76860,"Ashdown, AR",,1.50972519,82,130,41,85,0.6308,0.4824,8,8,1,,108.954,101.919,3.77985,171.826,6.12136,67.793,8.042,5.7748,0.346567,7.15926,9.148,12.845,33.9625,1.513,13.839,6.23245,0.926802,0.4062,3.0938,3.5,2.4062,0.9688,0.1875,20.9062,15.2844,2001-11-17,0.800,11.072,10.276,3.756,1.878,11.026,13.344,12.386
,Mark Mitchell,Wing F,Missouri,,SEC,33,83.8,1.400,121.1,25.9,57.2,60.58,6.3,11.8,21.2,13.8,178,266,0.669,185,324,0.571,19,49,0.388,1.7,1.2,71.3,Sr,6-9,25,4.85072,134.088,1.6,2026,76380,"Kansas City, KS",95.8,1.72466411,140,211,45,113,0.6635,0.3982,35,35,1,,113.361,106.384,3.25369,166.149,5.91914,64.234,7.287,5.0428,0.87634,7.09356,8.943,12.520,33.7606,1.512,13.521,6.518,0.575551,1.7273,3.4545,5.1818,3.6061,0.6667,0.4848,18.3333,2.54217,2003-09-01,0.805,10.883,10.077,3.920,1.960,10.903,13.268,12.286
,Morez Johnson Jr.,PF/C,Michigan,,B10,40,62.6,1.207,131.1,21.1,64.2,67.68,12.8,18.9,8.4,14,122,156,0.782,183,278,0.658,12,35,0.343,4.8,1.5,49.8,So,6-9,21,4.34215,142.363,3.7,2026,127577,"Riverdale, IL",94.2,0.90566038,164,225,19,53,0.7289,0.3585,50,53,0.9434,,94.8978,86.42,4.16333,221.679,11.4082,37.176,11.524,6.06078,5.34744,10.1015,10.286,12.419,25.1075,1.307,13.442,5.70899,4.39254,2.5,4.825,7.325,1.2,0.675,1.1,13.1,1.94813,2006-01-25,0.833,11.202,10.349,3.756,1.878,12.164,13.247,12.239
1,Flory Bidunga,C,Kansas,Louisville,B12,35,78.3,1.354,123.4,19.6,64,64.66,11.2,18.4,9.7,14.6,70,107,0.654,197,306,0.644,0,2,0,9,1.4,34.7,So,6-9,40,4.37273,132.589,3,2026,128335,"DR Congo, Congo, the Democratic Republic of the",97.4,0.96292698,162,216,35,90,0.75,0.3889,82,87,0.9425,,95.7552,88.8147,4.95241,247.194,11.6163,37.335,10.975,3.58681,8.02945,9.34955,9.082,12.292,31.5543,1.462,13.273,4.29577,5.05378,3.0286,5.9429,8.9714,1.4857,0.7429,2.6,13.2571,0.10623,2005-05-20,0.814,10.804,10.005,3.557,1.779,10.860,12.920,11.965
